name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
GL1	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL10	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL11	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL12	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL13	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL14	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL15	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL16	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL17	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL18	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL19	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL2	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL20	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL21	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL22	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL23	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL24	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL25	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL26	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL27	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL28	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL29	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL3	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL30	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL31	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL32	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL4	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL5	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL6	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL7	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL8	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
GL9	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
TL1	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
TL10	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
TL2	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
TL3	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
TL4	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
TL5	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
TL6	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
TL7	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
TL8	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
TL9	ECOG	V	0.0	1000.0	Electrocorticography	2000.0	good	n/a
